"Page","H1","H2","H3","Words","Schemas","Issues","Status"
"app/condos/waldorf-astoria/page.tsx","1","4","9","809","","Word count: 809 (should be at least 1500); No schema found","NEEDS FIX"
"app/condos/wimbledon/page.tsx","1","4","9","791","","Word count: 791 (should be at least 1500); No schema found","NEEDS FIX"
"app/contact/page.tsx","1","6","9","818","","Word count: 818 (should be at least 1500); No schema found","NEEDS FIX"
"app/faq/page.tsx","1","4","5","1060","FAQ","Word count: 1060 (should be at least 1500)","NEEDS FIX"
"app/market-analysis/page.tsx","1","5","0","210","","H3 count: 0 (should be at least 2); Word count: 210 (should be at least 1500); No schema found","NEEDS FIX"
"app/marketing-strategy/page.tsx","1","2","1","285","","H2 count: 2 (should be at least 3); H3 count: 1 (should be at least 2); Word count: 285 (should be at least 1500); No schema found","NEEDS FIX"
"app/neighborhoods/page.tsx","1","5","17","1170","Breadcrumb","Word count: 1170 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/macdonald-ranch/page.tsx","1","5","12","1239","Breadcrumb","Word count: 1239 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/mountains-edge/page.tsx","1","5","12","1215","Breadcrumb","Word count: 1215 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/red-rock-country-club/page.tsx","1","5","12","1345","Breadcrumb","Word count: 1345 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/skye-canyon/page.tsx","1","5","12","1264","Breadcrumb","Word count: 1264 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/southern-highlands/page.tsx","1","5","12","1230","Breadcrumb","Word count: 1230 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/summerlin-west/page.tsx","1","5","12","1193","Breadcrumb","Word count: 1193 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/the-ridges/page.tsx","1","5","12","1169","Breadcrumb","Word count: 1169 (should be at least 1500)","NEEDS FIX"
"app/neighborhoods/the-summit/page.tsx","1","5","12","1203","Breadcrumb","Word count: 1203 (should be at least 1500)","NEEDS FIX"
"app/privacy-policy/page.tsx","1","4","0","171","","H3 count: 0 (should be at least 2); Word count: 171 (should be at least 1500); No schema found","NEEDS FIX"
"app/process/page.tsx","1","5","12","1671","Breadcrumb","","OK"
"app/resources/page.tsx","1","2","1","315","","H2 count: 2 (should be at least 3); H3 count: 1 (should be at least 2); Word count: 315 (should be at least 1500); No schema found","NEEDS FIX"
"app/results/page.tsx","1","3","1","270","","H3 count: 1 (should be at least 2); Word count: 270 (should be at least 1500); No schema found","NEEDS FIX"
"app/selling-tips/page.tsx","1","2","1","288","","H2 count: 2 (should be at least 3); H3 count: 1 (should be at least 2); Word count: 288 (should be at least 1500); No schema found","NEEDS FIX"
"app/services/page.tsx","1","5","17","1569","Breadcrumb, Service","","OK"
"app/success-stories/page.tsx","1","3","7","576","","Word count: 576 (should be at least 1500); No schema found","NEEDS FIX"
"app/terms/page.tsx","1","4","0","137","","H3 count: 0 (should be at least 2); Word count: 137 (should be at least 1500); No schema found","NEEDS FIX"
"app/testimonials/page.tsx","1","2","4","680","","H2 count: 2 (should be at least 3); Word count: 680 (should be at least 1500); No schema found","NEEDS FIX"
"app/tools/blame-analyzer/page.tsx","1","0","0","61","","H2 count: 0 (should be at least 3); H3 count: 0 (should be at least 2); Word count: 61 (should be at least 1500); No schema found","NEEDS FIX"
"app/tools/cost-calculator/page.tsx","1","0","0","63","","H2 count: 0 (should be at least 3); H3 count: 0 (should be at least 2); Word count: 63 (should be at least 1500); No schema found","NEEDS FIX"
"app/tools/value-check/page.tsx","1","1","1","231","","H2 count: 1 (should be at least 3); H3 count: 1 (should be at least 2); Word count: 231 (should be at least 1500); No schema found","NEEDS FIX"
"app/why-choose-me/page.tsx","1","3","1","386","","H3 count: 1 (should be at least 2); Word count: 386 (should be at least 1500); No schema found","NEEDS FIX"
"app/why-expire/page.tsx","1","7","12","1505","Breadcrumb","","OK"
